problem,path,artist_folder,file_count_in_folder,tag_title,tag_artist,tag_album,tag_album_artist,probable_source_album,probable_track_title,duration_seconds
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Rag Mama Rag/Unknown Album/A Musical History [CD 3] - T.mp3,Rag Mama Rag,1,A Musical History [CD 3] - T,02_Rag_Mama_Rag_,,,A Musical History,Rag Mama Rag,186
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Rainy Day Women (Live)/Unknown Album/A Musical History [CD 5] - T.mp3,Rainy Day Women (Live),1,A Musical History [CD 5] - T,05_Rainy_Day_Women_(Live)_,,,A Musical History,Rainy Day Women (Live),217
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/River Hymn/Unknown Album/A Musical History [CD 4] - T.mp3,River Hymn,1,A Musical History [CD 4] - T,04_The_River_Hymn_,,,A Musical History,The River Hymn,282
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Robbie's Blues/Unknown Album/A Musical History [CD 1] - T.mp3,Robbie's Blues,1,A Musical History [CD 1] - T,07_Robbie's_Blues_,,,A Musical History,Robbie's Blues,217
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Rockin' Chair (Live)/Unknown Album/A Musical History [CD 3] - T.mp3,Rockin' Chair (Live),1,A Musical History [CD 3] - T,19_Rockin'_Chair_(Live)_,,,A Musical History,Rockin' Chair (Live),252
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Ruben Remus/Unknown Album/A Musical History [CD 1] - T.mp3,Ruben Remus,1,A Musical History [CD 1] - T,24_Ruben_Remus_,,,A Musical History,Ruben Remus,195
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Rumor/Unknown Album/A Musical History [CD 3] - T.mp3,Rumor,1,A Musical History [CD 3] - T,15_The_Rumor_,,,A Musical History,The Rumor,256
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Saga Of Pepote Rouge/Unknown Album/A Musical History [CD 5] - T.mp3,Saga Of Pepote Rouge,1,A Musical History [CD 5] - T,12_The_Saga_Of_Pepote_Rouge_,,,A Musical History,The Saga Of Pepote Rouge,255
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Shape I'm In/Unknown Album/A Musical History [CD 3] - T.mp3,Shape I'm In,1,A Musical History [CD 3] - T,13_The_Shape_I'm_In_,,,A Musical History,The Shape I'm In,243
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Share Your Love With Me/Unknown Album/A Musical History [CD 5] - T.mp3,Share Your Love With Me,1,A Musical History [CD 5] - T,02_Share_Your_Love_With_Me_,,,A Musical History,Share Your Love With Me,176
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Slippin' & Slidin' (Live)/Unknown Album/A Musical History [CD 3] - T.mp3,Slippin' & Slidin' (Live),1,A Musical History [CD 3] - T,16_Slippin'_&_Slidin'_(Live)_,,,A Musical History,Slippin' & Slidin' (Live),203
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Smoke Signal (Live)/Unknown Album/A Musical History [CD 4] - T.mp3,Smoke Signal (Live),1,A Musical History [CD 4] - T,07_Smoke_Signal_(Live)_,,,A Musical History,Smoke Signal (Live),309
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Stage Fright/Unknown Album/A Musical History [CD 3] - T.mp3,Stage Fright,1,A Musical History [CD 3] - T,14_Stage_Fright_,,,A Musical History,Stage Fright,223
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Stones I Throw (Song S/Unknown Album/A Musical History [CD 1] - T.mp3,Stones I Throw (Song S,1,A Musical History [CD 1] - T,12_The_Stones_I_Throw_(Song_S,,,A Musical History,The Stones I Throw (Song S,67
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Stones I Throw (Will F/Unknown Album/A Musical History [CD 1] - T.mp3,Stones I Throw (Will F,1,A Musical History [CD 1] - T,13_The_Stones_I_Throw_(Will_F,,,A Musical History,The Stones I Throw (Will F,126
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Strawberry Wine (Live)/Unknown Album/A Musical History [CD 3] - T.mp3,Strawberry Wine (Live),1,A Musical History [CD 3] - T,18_Strawberry_Wine_(Live)_,,,A Musical History,Strawberry Wine (Live),227
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Tears Of Rage/Unknown Album/A Musical History [CD 2] - T.mp3,Tears Of Rage,1,A Musical History [CD 2] - T,04_Tears_Of_Rage_,,,A Musical History,Tears Of Rage,321
unknown_album_shard,"/Users/roncompton/Music/RoseMusicWork/Music/Tell Me, Momma (Live)/Unknown Album/A Musical History [CD 1] - T.mp3","Tell Me, Momma (Live)",1,A Musical History [CD 1] - T,"16_Tell_Me,_Momma_(Live)_",,,A Musical History,"Tell Me, Momma (Live)",246
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/This Wheel's On Fire/Unknown Album/A Musical History [CD 2] - T.mp3,This Wheel's On Fire,1,A Musical History [CD 2] - T,12_This_Wheel's_On_Fire_,,,A Musical History,This Wheel's On Fire,193
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Time To Kill/Unknown Album/A Musical History [CD 3] - T.mp3,Time To Kill,1,A Musical History [CD 3] - T,11_Time_To_Kill_,,,A Musical History,Time To Kill,209
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/To Kingdome Come (Full/Unknown Album/Length Version) - A Musical H.mp3,To Kingdome Come (Full,1,Length Version) - A Musical H,05_To_Kingdome_Come_(Full,,,,To Kingdome Come (Full,238
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Twilight (Song Sketch)/Unknown Album/A Musical History [CD 5] - T.mp3,Twilight (Song Sketch),1,A Musical History [CD 5] - T,10_Twilight_(Song_Sketch)_,,,A Musical History,Twilight (Song Sketch),205
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Two Piano Song/Unknown Album/A Musical History [CD 4] - T.mp3,Two Piano Song,1,A Musical History [CD 4] - T,16_Two_Piano_Song_,,,A Musical History,Two Piano Song,253
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Uh Uh Uh/Unknown Album/A Musical History [CD 1] - T.mp3,Uh Uh Uh,1,A Musical History [CD 1] - T,09_Uh_Uh_Uh_,,,A Musical History,Uh Uh Uh,142
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Unfaithful Servant (Live)/Unknown Album/A Musical History [CD 4] - T.mp3,Unfaithful Servant (Live),1,A Musical History [CD 4] - T,08_Unfaithful_Servant_(Live)_,,,A Musical History,Unfaithful Servant (Live),281
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Up On Cripple Creek/Unknown Album/A Musical History [CD 3] - T.mp3,Up On Cripple Creek,1,A Musical History [CD 3] - T,05_Up_On_Cripple_Creek_,,,A Musical History,Up On Cripple Creek,275
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/W.S. Walcoot Medicine/Unknown Album/A Musical History [CD 4] - T.mp3,W.S. Walcoot Medicine,1,A Musical History [CD 4] - T,09_The_W.S._Walcoot_Medicine_,,,A Musical History,The W.S. Walcoot Medicine,246
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/We Can Talk/Unknown Album/A Musical History [CD 2] - T.mp3,We Can Talk,1,A Musical History [CD 2] - T,08_We_Can_Talk_,,,A Musical History,We Can Talk,185
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Weight/Unknown Album/A Musical History [CD 2] - T.mp3,Weight,2,A Musical History [CD 2] - T,07_The_Weight_,,,A Musical History,The Weight,278
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Weight/Unknown Album/A Musical History [CD 5] - T.mp3,Weight,2,A Musical History [CD 5] - T,19_The_Weight_,,,A Musical History,The Weight,276
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/When I Paint My Masterpiec/Unknown Album/A Musical History [CD 4] - T.mp3,When I Paint My Masterpiec,1,A Musical History [CD 4] - T,02_When_I_Paint_My_Masterpiec,,,A Musical History,When I Paint My Masterpiec,261
